الاسم,التقييم,عدد التقييمات,العنوان,التصنيف,الحي,خط_العرض,خط_الطول
جواهر القمة,٤٫٢,"2,394",مخرج 17، الفاروق، الرياض 12866، المملكة العربية السعودية,مركز تسوق,العزيزية,26.481482300000003,50.8095633
العزيزية مول,٤٫٣,12,"4106 طريق الملك خالد، البحيرة، حي, 8254، الخبر 34722، المملكة العربية السعودية",مركز تسوق,العزيزية,26.481482300000003,50.8095633
الحسين توب أب,٤٫٣,"3,903",3423 8261 الطريق الدائري الجنوبي الفرعي، العزيزية، الرياض 14512، المملكة العربية السعودية,مركز تسوق,العزيزية,24.8561472,46.826996699999995
بوابة الرياض,٤٫٣,383,العقيق، الرياض 13515، المملكة العربية السعودية,مركز تسوق,العزيزية,24.8561472,46.826996699999995
الربوة سكوير,٤٫٤,735,5044 طريق عمر بن عبد العزيز الفرعي، الربوة، الرياض 12816، المملكة العربية السعودية,مركز تسوق,العزيزية,24.8561472,46.826996699999995
بارتي مون(حفلة القمر) للهدايا والبالون والورود,٤٫٧,339,ثلاب بن حمد، العزيزية، الرياض 14514، المملكة العربية السعودية,محل هدايا,العزيزية,24.8561472,46.826996699999995
مجمع حطين سكوير,٤٫٢,"4,822",QJ35+5X6، طريق الامير تركي بن عبدالعزيز الأول، حطين، الرياض 13513، المملكة العربية السعودية,مركز تسوق,العزيزية,24.8561472,46.826996699999995
ذي بروميناد,٤٫٠,106,3840 6397 طريق مكة المكرمة، الملك عبدالله، الرياض 12421، المملكة العربية السعودية,مركز تسوق,العزيزية,24.8561472,46.826996699999995
أول بلازا,٤٫٣,"4,149","RGMA6244, Al Takhasosi st, 6244, الرياض 12312، المملكة العربية السعودية",مركز تسوق,العزيزية,24.8561472,46.826996699999995
المعيقلية الثالثة,٤٫٤,"10,503",الامام محمد بن سعود بن مقرن، الديرة، الرياض 12634، المملكة العربية السعودية,مركز تسوق,العزيزية,24.8561472,46.826996699999995
الادارة العامة شركة الباسم التجارية,٣٫٩,104,تقاطع الصفوة، طريق الملك عبدالعزيز، العزيزية، الرياض 14511، المملكة العربية السعودية,مركز تسوق,العزيزية,24.8561472,46.826996699999995
مؤسسة رياحين الشام,٤٫١,257,6980، ارتامة، 4485، المصانع، الرياض 14714، المملكة العربية السعودية,مركز تسوق,العزيزية,24.8561472,46.826996699999995
تخفيضات العائلة,٤٫١,"7,725",سلمان الفارسي، النهضة، الرياض 13221، المملكة العربية السعودية,مركز تسوق,العزيزية,24.8561472,46.826996699999995
الربيع مارت - العقيق,٣٫٨,"2,197",طريق الأمير محمد بن سلمان بن عبدالعزيز، العقيق، الرياض 11564، المملكة العربية السعودية,مركز تسوق,العزيزية,24.8561472,46.826996699999995
ميني سو,٤٫١,"1,021",shifa، Badr، الرياض 14716، المملكة العربية السعودية,مركز تسوق,العزيزية,24.8561472,46.826996699999995
سانية,٣٫٦,"5,542",طريق خريص، الروضة، مخرج 24، الرياض 13211، المملكة العربية السعودية,مركز تسوق,العزيزية,24.771049899999998,46.7918167
ميركاتو بلازا,٤٫٢,350,النزهة، الرياض 12474، المملكة العربية السعودية,مركز تسوق,العزيزية,24.771049899999998,46.7918167
عبق الهزاز,,0,HQC3+F9W، العزيزية، الرياض 14515، المملكة العربية السعودية,مركز تسوق,العزيزية,24.771049899999998,46.7918167
أسواق ومخابز ركن وناسة الحارة,٤٫٥,157,شارع محمد رشيد رضا، العزيزية، الرياض 14116، المملكة العربية السعودية,سوبر ماركت عروض الخصم,العزيزية,24.618331899999998,46.7959405
معرض البازار 2 بن عفيف فرع الرياض,٣٫٩,90,Al Haeer Rd طريق الحائر، 2762، العزيزية، الرياض 14515، المملكة العربية السعودية,سوبر ماركت عروض الخصم,العزيزية,24.6120555,46.810356
بقاله زهرة السنابل,٣٫٩,19,HQMP+PXG، العزيزية، الرياض 14513، المملكة العربية السعودية,متجر بقالة,العزيزية,25.0152643,47.247699
أسواق الرشيد فرع المنصورة,٤٫٢,"1,379",شارع اسلام اباد، المنصورة، الرياض 12682، المملكة العربية السعودية,سوق المنتجات الغذائية,العزيزية,25.0152643,47.247699
هايبر نستو سوبرماركت,٤٫٠,"5,371",4th، الجزيرة، الرياض 14261، المملكة العربية السعودية,سوق ضخمة,العزيزية,25.0026619,46.895754800000006
الرياض بارك,4.5,"35,712",الطريق الدائري الشمالي الفرعي، العقيق، الرياض 13511، المملكة العربية السعودية,مركز تسوق,النرجس,24.879569800000002,46.7925421
غرناطة مول,4.4,"49,151",الطريق الدائري الشرقي الفرعي، District، الرياض 13241، المملكة العربية السعودية,مركز تسوق,النرجس,24.879569800000002,46.7925421
سينومي النخيل مول,4.4,"58,362",Exit 9، طريق الامام سعود بن عبدالعزيز بن محمد الفرعي، المغرزات، الرياض 12483، المملكة العربية السعودية,مركز تسوق,النرجس,24.879569800000002,46.7925421
العثيم مول,4.3,"35,279",مخرج 14، الطريق الدائري الشرقي الفرعي، حي الربوة،، الرياض 12839، المملكة العربية السعودية,مركز تسوق,النرجس,24.879569800000002,46.7925421
الرياض جاليري,4.4,"60,178",حي الملك فهد،، الفرعي،، طريق الملك فهد، الرياض المملكة العربية السعودية,مركز تسوق,النرجس,24.879569800000002,46.7925421
حياة مول,4.3,"42,756",طريق الملك عبدالله، قاطع طريق الملك عبدالعزيز مع، الرياض المملكة العربية السعودية,مركز تسوق,النرجس,24.879569800000002,46.7925421
سنتريا مول,4.3,"11,215",شارع العليا، العليا، الرياض 12241، المملكة العربية السعودية,مركز تسوق,النرجس,24.879569800000002,46.7925421
مركز المملكة,4.4,"30,999",طريق الملك فهد، العليا، الرياض 12214، المملكة العربية السعودية,مركز تسوق,النرجس,24.879569800000002,46.7925421
صحارى مول,4,"15,213",طريق الملك عبدالعزيز، الملك فهد، الرياض 12272، المملكة العربية السعودية,مركز تسوق,النرجس,24.879569800000002,46.7925421
النرجس سنتر,4.2,22,RM69+PWH، النرجس، تقاطع الثمامه مع ابو بكر الصديق المملكة العربية السعودية,مركز تسوق,النرجس,24.879569800000002,46.7925421
الربيع مول فرع النرجس,3.9,93,8478 سعود الفرعى، حي النرجس، RANA3369، 3369 الملك سلمان ابن عبدالعزيز، الرياض 13327، المملكة العربية السعودية,متجر أثاث,النرجس,24.879569800000002,46.7925421
القصر مول,4.3,"31,607",السويدي العام، السويدي، الرياض 11564، المملكة العربية السعودية,مركز تسوق,النرجس,24.879569800000002,46.7925421
اسواق ومخابز عقلا,4.1,"1,222",الامير سعود بن عبدالله بن جلوي،، الرياض 13333، المملكة العربية السعودية,متجر بقالة,النرجس,24.9051179,46.6945147
اسواق زون واحد للمواد الغذائية,3.7,85,النرجس، الرياض 12345، المملكة العربية السعودية,متجر بقالة,النرجس,24.9051179,46.6945147
تموينات نجوم النرجس,4,70,7913 4216 طريق عثمان بن عفان، النرجس، الرياض 13324، المملكة العربية السعودية,سوبر ماركت عروض الخصم,النرجس,24.9051179,46.6945147
عالم النرجس للكماليات,3.6,"1,539",طريق ابي بكر الصديق، النرجس، الرياض 13333، المملكة العربية السعودية,متجر سلع منزلية,النرجس,24.9051179,46.6945147
تموينات عفاف,4.1,86,VM65+GQ3، احمد بن عمرو بن السرح، النرجس، الرياض 13333، المملكة العربية السعودية,متجر بقالة,النرجس,24.9051179,46.6945147
بقالة أنوار النرجس للمواد الغذائية,2.7,22,4738 ظلم، النرجس، الرياض 13324، المملكة العربية السعودية,متجر بقالة,النرجس,24.9187715,46.6929762
جناين الخير للحلويات المستوردة النرجس 5,4.2,579,طريق أنس ابن مالك، النرجس، الرياض 13324، المملكة العربية السعودية,متجر حلويات,النرجس,24.9187715,46.6929762
الياسمين بلازا,٤٫٢,"3,087",RMF4+98C، طريق أنس ابن مالك، الياسمين، الرياض 13322، المملكة العربية السعودية,مركز تسوق,النرجس,24.8918216,46.785097099999994
اسواق ومخابز دالي,٤٫١,317,"Rihana Bint Zaid St, Al Aarid, Riyadh 13342، الرياض 11564، المملكة العربية السعودية",متجر بقالة,النرجس,24.9219221,46.7216708
أسواق الدانوب,٤٫١,"2,642",RJ58+9H7، طريق أنس ابن مالك، الملقا، الرياض 13524، المملكة العربية السعودية,سوق ضخمة,النرجس,24.9219221,46.7216708
أسواق المنار مول,3.5,"1,659",PRF7+XJQ، شارع الإمام أحمد بن حنبل، النسيم الغربي، الرياض 14223، المملكة العربية السعودية,مركز تسوق,النسيم,24.7548453,46.8629785
النسيم بارك,3.9,21,"ابي هريرة، Road, النسيم، الرياض 14245، المملكة العربية السعودية",مركز تسوق,النسيم,24.7548453,46.8629785
ماي مارت النسيم,3.9,"1,091",شارع شمس الدين الصالحي، النسيم الغربي، الرياض 14233، المملكة العربية السعودية,مركز تسوق,النسيم,24.7779208,46.855135499999996
أسواق اودية نجد للمواد الغذائية,4,258,2896 شارع حمد بن فريد، حي النسيم، النسيم الغربي، الرياض 14231، المملكة العربية السعودية,متجر بقالة,النسيم,24.7779208,46.855135499999996
حدائق الخزامى,٣٫٨,193,ابي الاسود الدؤلي، النسيم الشرقي، الرياض 14244، المملكة العربية السعودية,مركز تسوق,النسيم,24.7515116,46.8585197
توب سنتر,٣٫٩,"3,517",طريق خريص، 3865 حي 8892، الرياض 14223، المملكة العربية السعودية,مركز تسوق,النسيم,24.7599163,46.864775699999996
ركن العائلة فرع النسيم,٣٫٩,"1,345",طريق سعد بن عبدالرحمن الأول الفرعي، طريق سعد بن نايف، الرياض المملكة العربية السعودية,مركز تسوق,النسيم,24.7599163,46.864775699999996
نسيم الموج للكماليات,٤٫٠,958,شارع أم الحمام، أم الحمام الغربي، الرياض 12328، المملكة العربية السعودية,مركز تسوق,النسيم,24.7599163,46.864775699999996
رسام جيرافتي,٤٫٠,"1,972",PRGF+8W2، امام سوق الحجاب، النسيم الغربي، الرياض 14233، المملكة العربية السعودية,مركز تسوق,النسيم,24.7599163,46.864775699999996
رحيق صبايا ( أحذية - شنط - ملابس - مفروشات ),٤٫١,628,شارع الأربعين، النسيم الغربي، الرياض 12354، المملكة العربية السعودية,مركز تسوق,النسيم,24.7599163,46.864775699999996
نجوم العاصمة للتسوق,٣٫٧,"1,018",شارع أبي الأسود الدؤلي، النسيم الشرقي، الرياض 14244، المملكة العربية السعودية,مركز تسوق,النسيم,24.7599163,46.864775699999996
مركز الهرم التجاري,٤٫١,"27,015",الطريق الدائري الجنوبي الفرعي، حي العزيزية، الرياض 11564، المملكة العربية السعودية,مركز تسوق,النسيم,24.7599163,46.864775699999996
رامز هايبر ماركت,٤٫٠,"5,788",طريق الأمير سعد بن عبدالرحمن الأول، النسيم الغربي، الرياض 14235، المملكة العربية السعودية,سوق ضخمة,النسيم,24.7599163,46.864775699999996
قهوة كيف الشيوخ النسيم,٤٫١,"1,104",عبدالرحمن بن سالم، النسيم الشرقي، الرياض 14241، المملكة العربية السعودية,متجر القهوة,النسيم,24.764812799999998,46.83462240000001
سكيتشرز,٣٫٨,151,طريق الامير محمد بن عبدالرحمن، AL Othaim Shoping Center، الرياض 12692، المملكة العربية السعودية,متجر أحذية,النسيم,24.764812799999998,46.83462240000001
داي إن داي,٤٫١,86,العزيزية، Train mall، الرياض 12773، المملكة العربية السعودية,مركز تسوق,النسيم,24.764812799999998,46.83462240000001
أسواق الثلاجة العالمية,٣٫٨,708,"PRHG+94P, شارع أسامة بن زيد، حي, النسيم الغربي، الرياض 14234، المملكة العربية السعودية",سوق المنتجات الغذائية,النسيم,24.7780246,46.855135499999996
الصالة الاقتصادية,٤٫١,"17,298",شارع أبي ذر الغفاري، النسيم، جدة 23236، المملكة العربية السعودية,سوبر ماركت عروض الخصم,النسيم,25.0051481,47.3319421
اسواق وتموينات الماسة العادل المركزيه,٤٫٥,28,"الحمزة، النسيم الشرقي، Almasa Aladel, الرياض 14241، المملكة العربية السعودية",مركز تسوق,النسيم,25.0051481,47.3319421
ماي مارت,٣٫٩,"2,477",طريق أنس ابن مالك، ،، الياسمين - الراية، الرياض المملكة العربية السعودية,مركز تسوق,النسيم,24.8327151,46.785238899999996
رياض افينو مول,4.3,"7,898",شارع الأمير فيصل بن تركي بن عبدالعزيز، المربع، الرياض 12612، المملكة العربية السعودية,مركز تسوق,الروضة,24.7885029,46.7925421
اسواق السدحان الروضة,3.9,"4,559","شارع خالد بن الوليد، حي الملك فيصل،، الملك فيصل، Khalid Ibn Al Walid St, حي الملك فيصل،، الرياض 13215، المملكة العربية السعودية",سوق ضخمة,الروضة,24.7559602,46.827821799999995
كارفور,٤٫١,"18,105",طريق خريص، الروضة، الرياض 11321، المملكة العربية السعودية,سوق ضخمة,الروضة,24.7842116,46.8307564
جنان القصيم,٤٫٠,924,الحسن بن علي،، الروضة، الرياض 13211، المملكة العربية السعودية,متجر بقالة,الروضة,24.7842116,46.8307564
حصاد القصيم,٣٫٨,938,شارع عبد الرحمن الغافقي، الروضة، الرياض 13213، المملكة العربية السعودية,متجر بقالة,الروضة,24.7842116,46.8307564
مركز الملقا التجاري والمكتبي,4.6,28,الملقا، الرياض 13521، المملكة العربية السعودية,مركز تسوق,الملقا,24.8207637,46.7940757
العقيق سكوير,4.3,"1,597",QJ6G+P5F، طريق الأمير محمد بن سعد بن عبدالعزيز، العقيق، الرياض 13511، المملكة العربية السعودية,مركز تسوق,الملقا,24.8207637,46.7940757
سوق الرياض الدولي,3.7,"5,683","ظهرة البديعة، Madinah Munawwarah Road, Al Near Al Badiah Park،، الرياض المملكة العربية السعودية",مركز تسوق,الملقا,24.8285739,46.7767385
أطياف مول,4.2,"15,178",11564&nbsp، Al Yarmuk، الرياض 13225، المملكة العربية السعودية,مركز تسوق,الملقا,24.8285739,46.7767385
مجمع الملقا,4.1,121,3837 وادي هجر، الملقا، 7417، الرياض 13524، المملكة العربية السعودية,مجمع سكني محاط ببوابات,الملقا,24.8285739,46.7767385
أسواق الدانوب,4.1,"2,642",RJ58+9H7، طريق أنس ابن مالك، الملقا، الرياض 13524، المملكة العربية السعودية,سوق ضخمة,الملقا,24.8235594,46.6463198
اسواق ومخابز فودز,4.1,306,7739 ابها، الملقا، الرياض 13525 4869، المملكة العربية السعودية,متجر بقالة,الملقا,24.8235594,46.6463198
أسواق عذوق الثمار,4.1,330,"8169 وادي وج، 3094, الجنوبي, الرياض 13521، المملكة العربية السعودية",متجر بقالة,الملقا,24.8235594,46.6463198
سويت مارت,3.8,166,حي الملقا،، الرياض 13524، المملكة العربية السعودية,متجر بقالة,الملقا,24.8235594,46.6463198
ربوع البستان,4,89,RH3V+M45، الأقطار، الملقا، الرياض 13525، المملكة العربية السعودية,متجر بقالة,الملقا,24.8235594,46.6463198
القرعاوي قاليريا,٤٫١,"3,794",Al Orouba-King Fahad Highway Junction المملكة العربية السعودية,مركز تسوق,الملقا,24.815996,46.7940757
نكست,٣٫٦,89,"Al Khair Mall, الملقا، الرياض 13521، المملكة العربية السعودية",متجر ملابس,الملقا,24.830785799999997,46.7871915
لولو هايبرماركت,٤٫٣,"12,177","Abi Bakr Al Seddiq Branch Rd، الياسمين، The Roof Mall, Al Fajr Rd Off، الرياض 13322، المملكة العربية السعودية",سوق ضخمة,الملقا,24.8313095,46.7249032
لولو هايبر ماركت,4.3,"6,690",طريق الإمام علي بن أبي طالب -رضي الله عنه- الفرعي، الملز، الرياض 12842، المملكة العربية السعودية,سوق ضخمة,الملز,24.692919,46.7554103
هايبر نستو - الملز,3.8,"8,689",شارع الزعفران، الملز، الرياض 12836، المملكة العربية السعودية,سوق ضخمة,الملز,24.692919,46.7554103
اسواق الحربي المركزية,4.1,499,"6899 شارع عبدالله الهمذاني، الملز, 2626، الرياض 12836، المملكة العربية السعودية",متجر بقالة,الملز,24.692919,46.7554103
أسواق جنوب الملز,4,82,MQ32+G53، الملز، الرياض 12842، المملكة العربية السعودية,متجر بقالة,الملز,24.692919,46.7554103
أسواق الملز المركزية,3.5,24,MP7F+WG2، شارع الفرزدق، الملز، الرياض 12629، المملكة العربية السعودية,متجر بقالة,الملز,24.692919,46.7554103
ميركاتو | الرياض - الملز,3.9,"1,208",ماكدونالدز، حي الملز شارع الستين تقاطع شارع جرير امام بنك البلاد بجانب، الرياض 11461، المملكة العربية السعودية,متجر ملابس,الملز,24.8208721,46.7911532
تموينات اروى,4.3,54,MPHR+5CX، الملز، Unnamed Road، الرياض 12832، المملكة العربية السعودية,متجر بقالة هندية,الملز,24.8208721,46.7911532
مركز جمال التجاري,٣٫٩,"5,054",JPR9+957، البطحاء، العمل، الرياض 12643، المملكة العربية السعودية,مركز تسوق,الملز,24.8273959,46.7851443
زارا,٣٫٥,278,S/N Salman Al Farsi، الملك عبد العزيز، الرياض 13223، المملكة العربية السعودية,متجر ملابس,الملز,24.8273959,46.7851443
فينيسيا سنتر,٣٫٦,"1,379",MPF9+WJG، الشيخ سلمان بن حمد ال خليفة، الضباط، الرياض 12625، المملكة العربية السعودية,مركز تسوق,الملز,24.8273959,46.7851443
هايبر الوفاء الملز,٤٫٢,634,شارع جرير، الملز، الرياض 12832، المملكة العربية السعودية,سوق ضخمة,الملز,24.692919,46.7554103
العليا مول,4.2,671,شارع العليا، الورود، الرياض 12215، المملكة العربية السعودية,مركز تسوق,العليا,24.762243899999998,46.7079488
أسواق حاجتي,4.1,"1,092","MMGV+FF4, شارع, العليا، الرياض 11543، المملكة العربية السعودية",متجر بقالة,العليا,24.715850099999997,46.7394112
AFAD Supermarket,4.6,10,خلف بنك البلاد، العليا، الرياض 11232، المملكة العربية السعودية,متجر بقالة,العليا,24.715850099999997,46.7394112
لوكلايزر مول,٤٫٠,"10,031",2803 طريق الأمير محمد بن عبدالعزيز، العليا، الرياض 12222، المملكة العربية السعودية,مركز تسوق,العليا,24.7209734,46.692799699999995
سوبر ماركت سلة النكهات,٤٫٦,10,خلف بنك البلاد، العليا، الرياض 11232، المملكة العربية السعودية,متجر بقالة,العليا,24.764989699999997,46.7394112
اسواق ومخابز زهرة المدهش السويدي,4.2,"2,014",عبدالملك بن هشام، السويدي، الرياض 12786، المملكة العربية السعودية,متجر بقالة,السويدي,24.607278,46.7464976
أسواق ومخابز غذاء الضاحية,3.7,208,4064 البلد الامين، السويدي، الرياض 12787 7152 البلد الامين، 7152، السويدي، الرياض 12787، المملكة العربية السعودية,متجر بقالة,السويدي,24.607278,46.7464976
أسواق عبد العزيز,3.9,205,البلد الامين ،، الرياض المملكة العربية السعودية,متجر بقالة,السويدي,24.607278,46.7464976
جراند هايبر- حي المنصورة,4.1,667,المنصورية، المنصورة، الرياض 12684، المملكة العربية السعودية,سوق ضخمة,السويدي,24.607278,46.7464976
التسوق الذكي,٤٫٦,"2,907",السويدي، الرياض 12796، المملكة العربية السعودية,مركز تسوق,السويدي,24.794752199999998,46.785619499999996
هايبر ماركت المدينة,٤٫١,"11,534",JP4J+6MP، البطحاء، المنصورة، الرياض 12684، المملكة العربية السعودية,سوق ضخمة,السويدي,24.6089943,46.7453413
تموينات اركان الرجبه للمواد الغذائيه,٣٫٨,460,الشيخ عبد العزيز بن محمد بن علي، ظهرة البديعة، الرياض 12981، المملكة العربية السعودية,متجر بقالة راقٍ,السويدي,24.775619199999998,46.8452251
أسواق هايبر رغيد,٤٫٠,"2,255",طريق نجم الدين الأيوبي الفرعي، طويق، الرياض 14927، المملكة العربية السعودية,سوق ضخمة,السويدي,24.775619199999998,46.8452251
هايبر رغيد,4,"1,531",الخليفة المأمون، بدر، الرياض 11564، المملكة العربية السعودية,سوق ضخمة,الشفا,24.674413899999998,46.7963222
هايبر الوفاء شفاء,4.1,94,"Street, 8514 طريق ديراب الفرعي، الشفا، الرياض 14713، المملكة العربية السعودية",سوق ضخمة,الشفا,24.674413899999998,46.7963222
اسواق بارق دبي للتجارة طريق ديرب الشفاء,3.7,180,الشفا، الرياض 14713، المملكة العربية السعودية,سوق ضخمة,الشفا,24.674413899999998,46.7963222
