طابع زمني,العمر:,الحالة الاجتماعية:,عدد الأطفال (إن وجد): ,مكان العمل:,ماهو العقار الذي تسكنه حاليًا؟,هل هو ملك أم ايجار؟, كم كانت المساحة المطلوبة (بالمتر المربع)؟,كم كان عدد الغرف المطلوبة؟,هل كانت مساحة العقار كبيرة أو صغيرة بالنسبة للأسرة؟,ماكان مدى أهمية اختيار منطقة حديثة؟,ما هي أهم المرافق القريبة التي كنت تبحث عنها؟ ,ما هي المنطقة التي كنت تفضل السكن بها ؟ ,هل كنت تفضل العيش في منطقة هادئة أم نشطة؟ ,أين مكان عملك؟(اذكر الحي),كم كانت المسافة المقبولة من العمل أو المرافق العامة؟ ,ماهو الحي الذي اشتريت/ استأجرت به؟,كم كان الحد الأقصى للميزانية؟,هل كنت تفضل الدفع نقداً أم عن طريق الأقساط؟ ,هل وجدت صعوبات مالية لاحقًا بعد عملية الشراء/ الاستئجار ؟,هل انت راضٍ عن عملية الشراء/ الاستئجار؟,ما سبب أنك راضٍ عن عملية الشراء/ الاستئجار في هذا الحي؟  ,ما سبب أنك لست راضٍ عن عملية الشراء/ الاستئجار في هذا الحي؟  
11/23/2024 18:26,أقل من 25,أعزب,لايوجد,شمال,شقة,ملك,من 150-200 متر مربع,غرفتان,مناسبة,مهم جدًا,"مدارس, حدائق, أندية رياضية",الشمال,هادئة,الهداء,أقل من 20 كم,العليا,"من 1,000,000 - 1,500,000 ريال",نقدًا,نعم,نعم,السعر مناسب,
11/23/2024 18:31,من 46-55,متزوج,3 أطفال,شرق,فيلا,ملك,أكثر من 200 متر مربع,أكثر من 3,مناسبة,مهم جدًا,حدائق,الجنوب,نشطة,حي المنصورة,أكثر من 30 كم,حي الشفا,"من 500,000 - 1,000,000 ريال",نقدًا,لا,نعم,"السعر مناسب, المساحة مناسبة, القرب من المرافق الترفيهية, يحتوي الحي على حدائق تلطف الجو",
11/23/2024 18:36,من 25-35,أعزب,لايوجد,جنوب,فيلا,ايجار,من 150-200 متر مربع,غرفتان,مناسبة,متوسط الأهمية,مراكز تجارية,الشمال,هادئة,العليا,أقل من 20 كم,العليا,"من 500,000 - 1,000,000 ريال",نقدًا,نعم,نعم,"السعر مناسب, المساحة مناسبة, وجود خدمات جيدة, توفر بنية تحتية جيدة",
11/27/2024 19:51,من 25-35,متزوج,أكثر من 3,شمال,فيلا,ملك,أكثر من 200 متر مربع,أكثر من 3,مناسبة,مهم جدًا,"مدارس, حدائق",الشمال,هادئة,حطين,أقل من 30 كم,الملقا,"أكثر من 1,500,000 ريال",نقدًا,لا,نعم,"الحي حديث, توفر بنية تحتية جيدة, الحي هادئ",
11/30/2024 14:52,من 46-55,متزوج,أكثر من 3,شمال,فيلا,ايجار,من 150-200 متر مربع,أكثر من 3,صغير جدًا,مهم جدًا,"مدارس, مراكز تجارية, مستشفيات",الشمال,هادئة,حي الغدير,أقل من 20 كم,حي الملقا,"أكثر من 1,500,000 ريال",نقدًا,نعم,نعم,"وجود خدمات جيدة, الحي حديث, الحي هادئ",
11/30/2024 18:07,من 25-35,متزوج,طفلان,غرب,فيلا,ملك,من 150-200 متر مربع,أكثر من 3,مناسبة,مهم جدًا,"مدارس, مراكز تجارية, مستشفيات, حدائق, أندية رياضية",الشمال,هادئة,الملقا,أقل من 20 كم,العليا,"من 1,000,000 - 1,500,000 ريال",أقساط,نعم,نعم,"السعر مناسب, المساحة مناسبة, وجود خدمات جيدة, القرب من المرافق الترفيهية, الحي حديث",
11/30/2024 18:10,من 36-45,متزوج,3 أطفال,غرب,شقة,ايجار,من 100-150 متر مربع,3 غرف,مناسبة,متوسط الأهمية,"مدارس, مراكز تجارية, مستشفيات, حدائق, أندية رياضية",الشمال,نشطة,النسيم,أقل من 20 كم,النسيم,"أقل من 500,000 ريال",أقساط,لا,نعم,"السعر مناسب, المساحة مناسبة, وجود خدمات جيدة, القرب من المرافق الترفيهية",
11/30/2024 18:45,أكثر من 55,متزوج,أكثر من 3,شرق,شقة,ايجار,من 150-200 متر مربع,أكثر من 3,مناسبة,مهم جدًا,"مدارس, مستشفيات, حدائق, أندية رياضية",الجنوب,هادئة,حي طويق,أقل من 10 كم,حي النمار,"أقل من 500,000 ريال",نقدًا,نعم,لا,,"ارتفاع الأسعار, الشراء عن طريق التقسيط تسبب بازمة مالية لي, لا يوجد مخارج للطرق الرئيسة"
11/30/2024 19:23,من 25-35,أعزب,لايوجد,وسط,فيلا,ملك,أكثر من 200 متر مربع,أكثر من 3,صغير جدًا,مهم جدًا,حدائق,الوسط,هادئة,الرياض ,أقل من 10 كم,النرجس,"من 1,000,000 - 1,500,000 ريال",أقساط,لا,نعم,السعر مناسب,
11/30/2024 22:21,أكثر من 55,متزوج,طفل واحد,جنوب,شقة,ايجار,من 100-150 متر مربع,غرفة واحدة,زائدة عن الحاجة,متوسط الأهمية,"مدارس, مراكز تجارية, مستشفيات, حدائق",الشرق,نشطة,حي الياسمين,أقل من 30 كم,حي الملقا,"من 500,000 - 1,000,000 ريال",نقدًا,نعم,نعم,"السعر مناسب, وجود خدمات جيدة, القرب من المرافق الترفيهية, الحي حديث, توفر بنية تحتية جيدة",
1/30/2025 10:20,من 25-35,متزوج,طفل واحد,جنوب,شقة,ايجار,من 150-200 متر مربع,غرفتان,مناسبة,متوسط الأهمية,أندية رياضية,الجنوب,نشطة,السويدي,أقل من 20 كم,العزيزية,"أقل من 500,000 ريال",أقساط,لا,نعم,"السعر مناسب, المساحة مناسبة, الحي نشط",
2/2/2025 18:07,من 46-55,متزوج,أكثر من 3,وسط,فيلا,ملك,أكثر من 200 متر مربع,أكثر من 3,مناسبة,متوسط الأهمية,"مدارس, مستشفيات",الغرب,هادئة,حي الملز,أقل من 20 كم,السويدي,"من 500,000 - 1,000,000 ريال",أقساط,نعم,نعم,"المساحة مناسبة, وجود خدمات جيدة, توفر بنية تحتية جيدة, الحي هادئ",
2/2/2025 18:19,من 25-35,متزوج,3 أطفال,وسط,فيلا,ملك,أكثر من 200 متر مربع,أكثر من 3,مناسبة,مهم جدًا,"مدارس, مراكز تجارية, مستشفيات, حدائق",الوسط,هادئة,الملقا,أكثر من 30 كم,الملقا,"أكثر من 1,500,000 ريال",نقدًا,لا,نعم,"السعر مناسب, المساحة مناسبة, وجود خدمات جيدة, القرب من المرافق الترفيهية, الحي هادئ, قرب الحي من مقر العمل, يحتوي الحي على حدائق تلطف الجو",
2/2/2025 18:42,من 36-45,متزوج,3 أطفال,جنوب,شقة,ايجار,من 150-200 متر مربع,3 غرف,صغير جدًا,متوسط الأهمية,"مدارس, حدائق, أندية رياضية",الشرق,هادئة,الروضة,أقل من 30 كم,الشفا,"من 1,000,000 - 1,500,000 ريال",أقساط,نعم,نعم,"الحي حديث, الحي هادئ, قرب الحي من مقر العمل",
2/3/2025 9:05,من 36-45,أعزب,طفلان,غرب,فيلا,ايجار,أكثر من 200 متر مربع,غرفة واحدة,زائدة عن الحاجة,متوسط الأهمية,"مدارس, مراكز تجارية, مستشفيات",الوسط,هادئة,الملز,أقل من 20 كم,الشفا,"أقل من 500,000 ريال",نقدًا,لا,نعم,"السعر مناسب, المساحة مناسبة, وجود خدمات جيدة, القرب من المرافق الترفيهية, قرب الحي من مقر العمل",
2/3/2025 18:18,من 36-45,متزوج,3 أطفال,جنوب,فيلا,ملك,أكثر من 200 متر مربع,أكثر من 3,مناسبة,متوسط الأهمية,"مدارس, مراكز تجارية, مستشفيات, حدائق",الشمال,هادئة,الشفا,أكثر من 30 كم,الشفا,"من 500,000 - 1,000,000 ريال",نقدًا,لا,نعم,"القرب من المرافق الترفيهية, الحي حديث, الحي نشط",
2/4/2025 8:33,من 36-45,متزوج,3 أطفال,شرق,فيلا,ملك,من 100-150 متر مربع,أكثر من 3,زائدة عن الحاجة,مهم جدًا,"مراكز تجارية, مستشفيات, حدائق, أندية رياضية",الشمال,هادئة,الروضة,أقل من 20 كم,النسيم,"من 1,000,000 - 1,500,000 ريال",نقدًا,نعم,نعم,"السعر مناسب, المساحة مناسبة, وجود خدمات جيدة, القرب من المرافق الترفيهية",
2/4/2025 8:34,أكثر من 55,أعزب,طفل واحد,غرب,فيلا,ملك,من 100-150 متر مربع,غرفتان,مناسبة,متوسط الأهمية,"مدارس, مراكز تجارية, مستشفيات, حدائق, أندية رياضية",الجنوب,هادئة,العزيزية,أقل من 20 كم,الشفا,"من 500,000 - 1,000,000 ريال",نقدًا,نعم,لا,,"ارتفاع الأسعار, قلة الخدمات, الازدحام والضوضاء, الشراء عن طريق التقسيط تسبب بازمة مالية لي"
2/9/2025 19:53,من 36-45,متزوج,طفل واحد,شمال,شقة,ايجار,من 100-150 متر مربع,غرفتان,مناسبة,غير مهم,"مدارس, مستشفيات",الشرق,هادئة,الياسمين,أكثر من 30 كم,الروضة,"أقل من 500,000 ريال",أقساط,نعم,نعم,"المساحة مناسبة, وجود خدمات جيدة, الحي هادئ, يحتوي الحي على حدائق تلطف الجو",
2/9/2025 19:57,أكثر من 55,متزوج,أكثر من 3,غرب,فيلا,ملك,أكثر من 200 متر مربع,أكثر من 3,مناسبة,مهم جدًا,"مدارس, مستشفيات, حدائق, أندية رياضية",الشرق,نشطة,السويدي,أكثر من 30 كم,النسيم,"من 1,000,000 - 1,500,000 ريال",نقدًا,لا,لا,,"ارتفاع الأسعار, الازدحام والضوضاء, تلوث الجو بالحي"
2/9/2025 20:00,من 25-35,أعزب,لايوجد,شمال,استوديو,ايجار,أقل من 100 متر مربع,غرفة واحدة,صغير جدًا,مهم جدًا,أندية رياضية,الشمال,نشطة,النرجس,أقل من 10 كم,النرجس,"من 500,000 - 1,000,000 ريال",أقساط,نعم,نعم,"وجود خدمات جيدة, القرب من المرافق الترفيهية, الحي حديث, الحي نشط, قرب الحي من مقر العمل",
2/9/2025 20:11,من 36-45,متزوج,لايوجد,جنوب,شقة,ايجار,من 100-150 متر مربع,3 غرف,زائدة عن الحاجة,مهم جدًا,"مراكز تجارية, مستشفيات, حدائق, أندية رياضية",الشمال,نشطة,العزيزية,أقل من 30 كم,الملقا,"أقل من 500,000 ريال",أقساط,نعم,لا,,"ارتفاع الأسعار, الشراء عن طريق التقسيط تسبب بازمة مالية لي"
2/9/2025 20:18,أقل من 25,أعزب,لايوجد,غرب,استوديو,ايجار,أقل من 100 متر مربع,غرفة واحدة,صغير جدًا,غير مهم,حدائق,الغرب,هادئة,نمار,أقل من 10 كم,نمار,"أقل من 500,000 ريال",أقساط,نعم,لا,,"المساحة غير مناسبة, قلة الخدمات, حي قديم"
2/9/2025 20:25,من 46-55,متزوج,طفلان,غرب,شقة,ملك,من 150-200 متر مربع,3 غرف,زائدة عن الحاجة,متوسط الأهمية,"مدارس, مراكز تجارية, مستشفيات, حدائق, أندية رياضية",الغرب,هادئة,السويدي,أقل من 10 كم,السويدي,"أقل من 500,000 ريال",أقساط,نعم,نعم,قرب الحي من مقر العمل,
